Item,Group,Original/Curated,Bucket,Type,Ages
Hanukkah candles (44-pack + extras),Base,Curated,All,,
Chocolate gelt (standard),Base,Curated,All,,
Hanukkah wrapping paper variety pack,Base,Curated,All,,
Spotify playlist QR/NFC card,Base,Original,All,Media Card,
Printed lyric sheet,Base,Original,All,Printed Card(s),
Shelf-stable latke mix,Base,Curated,Opt - Latke,,
Latke recipe card,Base,Original,Opt - Latke,Media Card,
Printed latke recipe card,Base,Original,Opt - Latke,Printed Card(s),
Sufganiyot digital recipe card,Base,Original,Opt - Sufganiyot,Media Card,
Sufganiyot donut-holes kit (with ingredients),Base,Original,Opt - Sufganiyot,Kit,
Sufganiyot recipe card / bakery recs card,Base,Original,Opt - Sufganiyot,Printed Card(s),
Audio story card (tap/scan to play),Per Kid,Original,Opt - Story,Media Card,"3-5,6-8,9-12"
Coloring activity / sheet,Per Kid,Original,Opt - Story,Printed Card(s),"0-2,3-5"
Graphic novel — Hanukkah story,Per Kid,Original,Opt - Story,Book,9-12
Board book — Hanukkah story,Per Kid,Original,Opt - Story,Book,"0-2,3-5"
Picture book — Hanukkah story,Per Kid,Original,Opt - Story,Book,"3-5,6-8"
Plush toy dreidel,Per Kid,Curated,Opt - Gift,,"0-2,3-5"
Baby-safe dreidel (chewable),Per Kid,Curated,Opt - Gift,,"0-2,3-5"
English / Hebrew dreidel,Per Kid,Curated,Opt - Gift,,"3-5,6-8"
Child's hanukkiah (keepsake),Per Kid,Curated,Opt - Gift,,"0-2,3-5,6-8,9-12"
Make-your-own hanukkiah craft kit,Per Kid,Curated,Opt - Gift,,"3-5,6-8,9-12"
Child's hanukkiah (electric/safe),Per Kid,Curated,Opt - Gift,,"0-2,3-5"
Hanukkah blanket,Per Kid,Curated,Opt - Gift,,"0-2,3-5,6-8,9-12"
Pyjamas,Per Kid,Curated,Opt - Gift,,"0-2,3-5,6-8,9-12"
Tzedakah / donation card,Per Kid,Original,Opt - Gift,Media Card,"6-8,9-12"
Memory card — first Hanukkah,Per Kid,Original,Opt - Gift,Printed Card(s),"0-2,3-5"
Keepsake dreidel (wood or ceramic),One Time,Curated,,,
Family hanukkiah (keepsake),One Time,Curated,,,
Recipe card binder,One Time,Original,,Packaging,
Storage box (outer box as annual container),One Time,Original,,Packaging,
Pet Gift - Chew toy / costume,Home,Curated,Opt - Decor,,
Happy Hanukkah banner / garland,Home,Curated,Opt - Decor,,
Cocktail napkins / party supplies,Home,Curated,Opt - Decor,,
Hanukkah display runner / cloth,Home,Curated,Opt - Decor,,
Parent guide — Hanukkah for beginners,Parent,Original,Opt - Parents,Printed Card(s),
Discussion card pack (adults),Parent,Original,Opt - Parents,Printed Card(s),
Jewish words to know card pack,Parent,Original,Opt - Parents,Printed Card(s),
